Job Title,Deadline Date,Job Category,Job Level,No. of Vacancy/s,Employment Type,Job Location,Offered Salary,Apply Before(Deadline),Education Level,Experience Required,Professional Skills,Job Description
"
HR Officer



",06/12/2024 11:55 p.m.,Human Resource /Org. Development,Mid Level,[ 1 ],Full Time,"Naxal, Kathmandu",Negotiable,"Jun. 12, 2024 23:55
(6 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Communication, Organizational, Creativity Skills, Analytical, Relationship-Building Skills","Implement the recruitment process by collaborating and communicating with job portals, and conducting necessary screening and selection for interviews and assessments
Implement HRMS/HRIS to process remuneration and attendance reports
Maintain up-to-date information on all types of data, records, and transactions within the lifecycle of employees, including personnel data, employment records, salary/benefits, individual tax, provident fund, gratuity records, and insurance records
Collaborate with the Finance Department and Infirmary department to perform tasks related to income tax and staff's insurance policies
Prepare and maintain documentation activities of staff from hiring to retirement
Participate in employee development and engagement activities when required"
"
Technical Writer - Electrical And Electronics Engineer



",06/23/2024 11:55 p.m.,Construction / Engineering / Architects,Mid Level,[ 10 ],Full Time,Baneshwor,"NRs. 20,000.00 Monthly","Jun. 23, 2024 23:55
(2 weeks, 3 days from now)",Under Graduate (Bachelor),More than 1 year,"Matlab, Multism, Teamwork, Problem-Solving Skills, Proteus, Analytical","Familiarity with the basic electronics components such as sensors,
microcontrollers, etc.
Demonstrate ability to conduct research and learn new technologies
and skills.
Excellent problem-solving skills with the ability to tackle
challenges and implement practical solutions.
Strong communication skills to effectively share ideas and project
updates with both technical and non-technical team members.
Detail-oriented with strong analytical skills."
"
Office Assistant



",06/14/2024 11:55 p.m.,"Teaching / Education
 > School/ college administration",Entry Level,[ 1 ],Full Time,"Nayabazar, Khusibun",Negotiable,"Jun. 14, 2024 23:55
(1 week, 1 day from now)",Under Graduate (Bachelor),Not Required,"Interpersonal Skills, Communication, Multitasking, Teamwork","Ensure all interactions are conducted with a high level of
professionalism and service orientation.
Create and update records ensuring accuracy and
validity of information
Assist with administrative tasks as assigned
Provide basic and accurate information in-person and via phone/email.
Coordinate with other departments 
Recording information as needed
Provide information and assistance to visitors,
students, and staff."
"
Associate Scrum Master



",06/06/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 2 ],Full Time,"Lalitpur, Nepal",Negotiable,"Jun. 06, 2024 23:55
(4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,N/A,"Assist in managing project scope, timelines, and
quality to ensure they align with organizational goals.
Participate in sprint planning, retrospectives,
and daily stand-ups to help optimize team dynamics and project outcomes.
Provide support in collaboration efforts with
other Scrum Masters and team members, while learning from more senior roles.
Help promote and uphold Agile frameworks,
enhancing team communication and collaboration for efficient project execution.
Assist in internal and external communications,
serving as a supportive contact for stakeholders.
Utilize tools like JIRA to monitor sprint
progress and help present detailed, data-driven insights during scrum meetings.
Support product owners in managing backlogs and
effectively handling new requests.
Assist in generating and analyzing key project
metrics using tools like PowerBI and JIRA to support management's understanding
of project progress and blockers.
Help present the status of resource allocation
and contribute insights for optimizing resource deployment.
Address and support the resolution of conflicts
and the removal of impediments to maximize team productivity and project flow.
Contribute to driving the development teams
towards greater scrum maturity by learning and supporting the adoption of best
practices.
Aid in adhering to Scrum ceremonies, maintaining
sprint burndown charts, and using metrics to help evaluate and enhance sprint
outcomes.
Assist in designing and automating reports and
dashboards using tools like PowerApps, aiming to improve the efficiency and
accessibility of project data.
Follow the guidelines set by the Scrum department and
adhere to industry best practices to maintain high standards of Scrum
practices."
"
Electrical Overseer



",06/10/2024 5 p.m.,"Construction / Engineering / Architects
 > Engineering",Mid Level,[ 1 ],Full Time,"Kathmandu, Nepal",Negotiable,"Jun. 10, 2024 17:00
(3 days, 21 hours from now)",Diploma Certificate,More than or equal to 1 year,"Communication, Time Management","3 years’ Diploma from CTEVT or recognized institutions
Experienced in the installation, operation and maintenance in hydropower projects 
Good understanding of electrical engineering drawings and hydropower equipment
Able to work as team under pressure 
Good communication skills"
"
Middle School English Teacher



",06/11/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Full Time,"Naxal, Kathmandu",Negotiable,"Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Planning, Comminication, Organizational Skills, Active Listening Skills","Including thematic/integrated approaches to organizing teaching-learning activities while fostering creativity while learning.
Using art, research, extra reading and a variety of activities into lesson delivery as much as possible.
Following up on a variety of learning activities with adequate planning that includes assessment strategies.
Encouraging the curiosity and participation of students in all teaching-learning activities.
Demonstrating a strong command over the subject matter and its relevance to real life situations.
Recording students’ behaviors/skills/strengths/ weaknesses through thorough documentation.
Initiating interaction with students – developing a positive relationship with students without appearing biased to anyone while providing accurate, timely, and specific feedback to all.
Conducting continuous assessments and preparing standard report cards/observation reports to share with parents.
Actively communicating with parents on the progress of their child along with any challenges/achievements they may have experienced."
"
Procurement Officer



",06/11/2024 11:55 p.m.,"Commercial / Logistics / Supply Chain
 > Logistics, Purchase/ Procurement",Mid Level,[ 2 ],Full Time,"Tinkune, Kathmandu","NRs. 40,000.00 - 70,000.00 Monthly","Jun. 11, 2024 23:55
(5 days, 4 hours from now)",Under Graduate (Bachelor),More than 3 years,N/A,"Develops a purchasing strategy.
Reviews and processes purchase orders. 
Manages other members of the purchasing team.
Maintains records of goods ordered and
received.
Negotiates prices and contracts with
suppliers.
Builds and maintains relationships with
vendors.
Selects prospective vendors and negotiates
contracts.
Evaluates vendors based on quality,
timeliness, and price.
Schedules deliveries and ensures timely
fulfillment of orders.
Researches and evaluates vendors to compare
pricing and services.
Coordinates with managers to monitor
inventory and determine supply needs.
Ensures quality of procured items and
addresses problems when they arise.
Keeps up with trends in procurement.
Travels to vendor locations.
Stays current with purchasing technology
trends and oversees purchase and implementation, as necessary"
"
Executive - Sales



",06/22/2024 11:55 p.m.,Sales / Public Relations,Entry Level,[ 5 ],Full Time,Mid- Baneshwor,"NRs. 20,000.00 Monthly","Jun. 22, 2024 23:55
(2 weeks, 2 days from now)",Under Graduate (Bachelor),Not Required,N/A,"Selected candidates should carry out, follow up the task provided by their managers, and therefore require good adaptability, quick learning skills and should have attention to detail
Prioritize needs in a fast-paced environment and meet tight deadlines.
Monitor the level of Customer Satisfaction on a regular basis.
Actively look for new sales opportunities through networking, negotiation skills and cold calling.
Prepare reports, templates and maintain CRM.
Maintain, assist and endure the efficient Sales Activity plans and conduction."
"
Sales Girl



",06/08/2024 11:55 p.m.,"Sales / Public Relations
 > Sales Support/ assistant, Wholesale/ Retail sales",Mid Level,[ 5 ],Full Time,Durbarmarg,"NRs. 15,000.00 - 25,000.00 Monthly","Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Higher Secondary (+2/A Levels/Ib),More than 1 year,N/A,"Engage with customers, provide personalized recommendations.
Develop expertise in cosmetic products and industry trends.
Drive sales through upselling and product demonstrations.
Maintain visually appealing displays and store cleanliness.
Collaborate with team members to achieve sales targets."
"
Front Desk Officer



",06/09/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 2 ],Full Time,"KIEC Head Office, Lalupatey Marga
KIEC Baneshwor",Negotiable,"Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Higher Secondary (+2/A Levels/Ib),More than or equal to 1 year,N/A,"Effectively handling the Incoming and Outgoing Calls
Transferring the Incoming Calls to the respective colleagues 
Maintaining the the data of the In-person as well as Virtual Visitors accurately
Maintaining the attraction of the office with excellent  Customer Service
Assisting the other Staff Members of the Office when needed
Responding the Official Mails assigned to the Front Desk Officer
Responding the Queries at Various Social Medias
Involving in Prospects Follow Up on daily basis
Assisting the Instructors with the preparation and distribution of Study Materials
Assisting to hold the Mock Tests of PTE - A / IELTS / TOEFL iBT and SAT"
"
Team Leader (National Consultant) for Preparation of National Biodiversity…



",06/07/2024 5 p.m.
"
Food Content Producer/Reporter/Presenter



",06/30/2024 11:55 p.m.,"Journalism / Editor / Media
 > Content Developer",Mid Level,[ 2 ],"Full Time ,
Freelance","Kathmandu
Lalitpur","NRs. 25,000.00 - 35,000.00 Monthly","Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Multitasking, Time Management, Creativity, Presentation, Reporting","Content Creation: Develop and produce engaging multimedia content related to culinary arts and hospitality, including articles, videos, and social media posts.
Reporting: Cover events, courses, and activities at IHM College, providing detailed reports and updates.
Presentation: Host and present culinary shows, webinars, and other online/offline events to promote IHM College's programs.
Collaboration: Work with chefs, instructors, and students to create authentic and educational content.
Research: Stay updated with the latest trends in the culinary and hospitality industries to ensure content relevance and accuracy.
Editing: Oversee the editing of videos and written content to maintain high-quality standards."
"
Multimedia and Content editor/Designer



",06/30/2024 11:55 p.m.,Creative / Graphics / Designing,Mid Level,[ 1 ],Full Time,"Kathmandu
Lalitpur","NRs. 32,000.00 - 50,000.00 Monthly","Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Multitasking, Communication, Creativity Skills, Artistic","Develop, design, and produce multimedia content including videos, graphics, and other visual assets for IHM College's promotional and educational materials.
Create engaging content for social media platforms, the college website, and other digital channels.
Collaborate with academic and administrative staff to create content that aligns with the college’s branding and educational goals.
Plan, shoot, and edit videos for various purposes such as marketing, tutorials, and event coverage.
Manage all aspects of video production including scripting, storyboarding, and post-production editing.
Design visually appealing graphics for use in print and digital media, including brochures, flyers, banners, and social media posts.
Ensure all graphics align with the college’s brand guidelines and visual identity.
Maintain and organize a library of multimedia assets.
Ensure timely delivery of content for campaigns and events.
Operate and maintain audio-visual equipment.
Stay updated with the latest multimedia software and technologies.
Assist in live streaming and recording college events and seminars.
Work closely with the marketing team to develop and implement multimedia strategies.
Provide support in the development of online learning materials."
"
Sales and Marketing Officer



",06/30/2024 11:55 p.m.,"Sales / Public Relations
 > Sales and Marketing",Mid Level,[ 2 ],Full Time,"Kathmandu
Lalitpur","NRs. 25,000.00 - 35,000.00 Monthly","Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Communication, Multitasking, Interpersonal Skills, Negotiation, Problem Solving","Develop and implement effective sales and marketing strategies to promote IHM College's programs and services.
Conduct market research to identify new opportunities and monitor industry trends.
Manage and oversee social media platforms, creating engaging content to increase brand awareness.
Plan and execute marketing campaigns, including online and offline events, advertising, and public relations.
Establish and maintain relationships with educational institutions, industry partners, and potential clients.
Monitor and analyze sales performance, preparing regular reports for management.
Collaborate with the admissions team to ensure effective student recruitment."
"
Agricultural Specialist



",06/09/2024 11:55 p.m.,"Research and Development
 > Field supervision, Research Support",Mid Level,[ 2 ],Full Time,Lalitpur,"NRs. 25,000.00 - 50,000.00 Monthly","Jun. 09, 2024 23:55
(3 days, 4 hours from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Collaboration, Research and Development, Communication, Data Collection, Networking Skills","Strong knowledge of crop production, soil management, and sustainable farming practices.
Excellent analytical and problem-solving skills.
Effective communication and interpersonal skills.
Proficiency in using agricultural software and technology.
Ability to work independently and as part of a team.","Conduct research on crop production, soil health, pest management, and sustainable farming practices.
Develop and implement innovative agricultural techniques to enhance productivity and efficiency."
"
Sales Executive



",06/20/2024 11:55 p.m.,Sales / Public Relations,Mid Level,[ 30 ],Full Time,"Baneshwor, Kathmandu","NRs. 20,000.00 - 30,000.00 Monthly","Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than 1 year,"Interpersonal Skills, Communication, Multitasking, Organizational, Time Management","Selected Candidates will carry out, follow up the task provided by their managers, and therefore require good adaptability, quick learning skills and should have attention to detail
Prioritize needs in a fast-paced environment and meet tight deadlines
Prepare and organize Sales Report and Presentations prior the month end when required
Monitor the level of Customer Satisfaction on a regular basis
Maintain, assist and endure the efficient Sales Activity plans and conduction"
"
Corporate Sales Officer



",06/08/2024 11:55 p.m.,Sales / Public Relations,Senior Level,[ 1 ],Full Time,Bishalnagar Kathmandu,Negotiable,"Jun. 08, 2024 23:55
(2 days, 4 hours from now)",Graduate (Masters),More than or equal to 5 years,"Management, Communication, Approaching, Convincing, Problem Solving","Develop and implement effective sales strategies to achieve corporate sales targets.
Analyze market trends and competitor activities to identify business opportunities
Visit and approach to Financial institutions, corporate houses, NGO, INGO, Government offices, Hospitals, Professionals and promoting products for lead generation.
Establishing, promoting and maintaining company’s brand to generate business.
Build and maintain strong relationships with corporate clients to ensure repeat business.
Maintain accurate records of sales activities, client interactions, and transactions.
Collect and analyze information and prepare data and marketing report. (Daily, Weekly and Monthly).
Regular follow up with clients to generate sales.
Prepare weekly, monthly Sales Plan to generate lead.
Participate in team meetings and contribute to overall sales goals.
Provide mentorship and support to junior sales staff as needed."
"
Associate NOC Engineer



",06/19/2024 11:55 p.m.,Construction / Engineering / Architects,Entry Level,[ 2 ],Full Time,"Itahari
Hetauda",Negotiable,"Jun. 19, 2024 23:55
(1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Attention to Detail, Communication, Time Management, Flexibility, Work Under Pressure","Responsible for round the clock monitoring of the network infrastructure
Detect and respond to alarms, open tickets, assist with troubleshooting as required
Resolve the issue by utilizing documented processes and run books
Escalate/Assign tickets to appropriate Level 2/3 engineers as appropriate
Contribute to a daily activity report and support troubleshooting activities as required
Ensure ticket handover during shift changes in accordance to operations guidelines
Installation and configuration of Enterprise Customers and provide
Working on WAN link issue isolation"
"
Junior ERP Developer



",06/19/2024 11:55 p.m.,IT & Telecommunication,Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 19, 2024 23:55
(1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,"HTML, Css, Javascript, Communication, Problem Solving","Responsible for providing subject matter expertise and Support to users, company employees, contactors and customers.
Should lead reporsts writing and analytics efforts for company financial information.
Lead data and/or related systems integration projects specific to NetSuite
Perform coding on projects as needed
Fill functional lead or system expert roles on production and sandbox NetSuite environments and related systems
Develop and maintain processes and workflows in NetSuite to optimize the platform
Assist in the maintenance of our integrated platform testing application
Assess current state, research and implement effective solutions
Complete additional responsibilities as required "
"
Associate Broadcast Engineer



",06/19/2024 11:55 p.m.,Construction / Engineering / Architects,Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 19, 2024 23:55
(1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Collaboration, Communication, Multitasking, Problem Solving, Analytical","Assist in the setup, configuration, and maintenance of DTH, IPTV, and OTT broadcast systems, including encoders, transcoders,multiplexers, and related equipment.
Participate in the monitoring and troubleshooting of broadcast systems, identifying and resolving technical issues to ensure uninterrupted service delivery.
Collaborate with cross-functional teams, such as content acquisition, operations, and customer support, to address technical challenges and optimize system performance.
Contribute to the installation, integration, and testing of new hardware and software components related to broadcast systems.
Assist in the implementation of system updates, upgrades, and patches to maintain optimal performance and security.
Participate in the development and maintenance of documentation, including system configurations, troubleshooting guides, and standard operating procedures.
Support the team in conducting quality assurance tests and ensuring compliance with industry standards and regulations.
Stay up-to-date with the latest trends, technologies, and best practices in the broadcast industry, including DTH, IPTV, and OTT platforms."
"
Assistant Electrical Engineer



",06/19/2024 11:55 p.m.,"Construction / Engineering / Architects
 > Electrical/ Electronics",Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 19, 2024 23:55
(1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Collaboration, Communication, Problem Solving, Project Management, Analytical","Designing and testing electrical systems and components to ensure the safety standards are met.
Troubleshooting and resolving technical issues while operating electrical systems
Documenting test activities and specifications of electrical components
Staying updated about new technologies, industry standards and regulations
Identifying and managing engineering projects. 
Collaborating with the team to design and apply new system processes
Conducting system audit and maintain reports
Preparing specifications for purchases of electrical equipment and materials.
Estimating material, labor, or construction costs for budget preparation."
"
Marketing Associate



",06/19/2024 11:55 p.m.,Marketing / Advertising / Customer Service,Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 19, 2024 23:55
(1 week, 6 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Interpersonal Skills, Collaboration, Critical Thinking, MS Office Suite, Problem Solving","Assist in daily activities, including scheduling meetings, preparing reports, and channeling information.
Facilitate efficient communication to ensure alignment and clarity across the organization.
Collaborate with different departments to plan and execute inter-departmental projects.
Ensure that project timelines are met, resources are efficiently utilized, and objectives are achieved.
Stay updated with industry trends and best practices to contribute fresh perspectives to the marketing strategy.
Facilitate effective communication and collaboration to ensure cohesive project implementation.
Handle administrative tasks such as preparing documents, managing correspondence, and maintaining records.
Organize and coordinate meetings, events, and programs as required.
Prepare and present detailed reports as and when required."
"
Auditor



",06/30/2024 11:55 p.m.,"Accounting / Finance
 > Quality Assurance/ Quality Control",Mid Level,[ 1 ],Full Time,Nepal,"NRs. 35,000.00 - 50,000.00 Monthly","Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Attention to Detail, Communication, Problem-Solving Skills, Teamwork, Analytical","Planning and executing audit engagements in accordance with relevant auditing standards and regulations
Developing audit programs, procedures, and testing methodologies
Collecting and analyzing financial data, records, and supporting documentation
Evaluating the adequacy and effectiveness of internal control systems
Preparing audit reports and presenting findings, recommendations, and audit opinions to management
Providing guidance and advice on improving internal controls, risk management, and operational efficiency
Keeping up-to-date with changes in auditing standards, regulations, and industry best practices
Participating in continuous professional development activities"
"
Trainer



",06/30/2024 11:55 p.m.,"General Mgmt. / Administration / Operations
 > Administrative support, Office management & co-ordination",Mid Level,[ 1 ],Full Time,Nepal,"NRs. 45,000.00 - 60,000.00 Monthly","Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Graduate (Masters),More than or equal to 2 years,"Supervision, Communication, Multitasking, Time Management, Presentation","Conducting training needs analysis to identify skill gaps and training requirements
Designing, developing, and updating training curricula, materials, and multimedia presentations
Planning and organizing training schedules, logistics, and necessary resources
Delivering engaging and interactive training sessions, workshops, and seminars
Assessing trainee comprehension and evaluating training effectiveness
Providing one-on-one coaching and guidance to trainees as needed
Maintaining accurate training records and documentation
Collaborating with subject matter experts and stakeholders to ensure training relevance
Researching and incorporating best practices and adult learning principles
Identifying and recommending training tools, resources, and technologies"
"
Sales and Marketing Executive



",06/30/2024 11:55 p.m.,Sales / Public Relations,Mid Level,[ 1 ],Full Time,"Hattisar Kathmandu, Nepal",Negotiable,"Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, Communication, Analytical","Develop and execute marketing campaigns to promote products or services.
Utilize a mix of online and offline channels such as social media, email, events, and traditional advertising to reach target audiences.
Collaborate with the sales team to generate leads and support sales efforts.
Monitor and analyze the performance of campaigns, using insights to optimize strategies and  improve ROI.
Stay updated on industry trends and best practices in marketing."
"
Provincial Field Coordinator, Consultant (Lumbini based)



",06/09/2024 11:55 p.m.
"
Assistant Trainee Counselor



",06/28/2024 11:55 p.m.,Teaching / Education,Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 28, 2024 23:55
(3 weeks, 1 day from now)",Under Graduate (Bachelor),Not Required,"Interpersonal Skills, Detail Oriented, MS Office Suite, Communication, Organizational","Assist senior counselors in providing personalized guidance to students regarding course and university selection.
Conduct initial consultations to understand students' educational backgrounds, interests, and career aspirations.
Help students identify suitable academic programs and institutions based on their profiles and goals."
"
Receptionist



",06/28/2024 11:55 p.m.,Secretarial / Front Office / Data Entry,Entry Level,[ 1 ],Full Time,Kathmandu,Negotiable,"Jun. 28, 2024 23:55
(3 weeks, 1 day from now)",Under Graduate (Bachelor),Not Required,N/A,"Greetings visitors
Managing security and telecommunications systems.
Handling queries and complaints via phone,email and general correspondence.
Transferring call as necessary.
Managing meetings.
Security and access control
Problem resolution 
Handling reservations and booking.
Maintaining safety and hygienic standards of the reception area.
Assisting HR teams for the recruitments , onboarding and termination process.
Handling travel arrangements."
"
Admin and Account Assistant



",06/30/2024 11:55 p.m.,"General Mgmt. / Administration / Operations
 > Accounts, Administrative support",Mid Level,[ 2 ],Full Time,"Putalisadak, Kathmandu",Negotiable,"Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Under Graduate (Bachelor),More than 1 year,"Good Working Knowledge Of Microsof…, Time Management, Hard Working, Payroll Management, VAT (Value Added Tax)","Assist in overall Administrative Operations including accounting, financial, procurement, logistics, and human resource responsibilities.  
Help to keep records of Account, Manage Tax, Prepare Payrolls and Manage the vendors for various services required.
Help to work on Operational as well as Financial Audits along with the assigned CA. 
Collaborate with Program Partners, Stakeholders, and local authorities to foster positive working relationships.
Record all financial transactions into accounting system.  
Reconcile income and expenses and provide back-up documentation of all financial transactions.  
Help to process monthly payroll and corresponding deductions of office personnel.  
Help to manage all procurements and ensure appropriate approvals are obtained from management.  
Coordinate regularly with other staff members, instructors, agents, subagents and other stakeholders.  
Manage the operations including office space, equipment, logistics, and other administrative duties.  
Make logistical arrangements for the team.  "
"
Receptionist



",06/13/2024 11:55 p.m.,"Hospitality
 > Front desk/ reception",Mid Level,[ 1 ],Full Time,"Thamel, Kathmandu",Negotiable,"Jun. 13, 2024 23:55
(1 week from now)",Under Graduate (Bachelor),More than or equal to 1 year,"Time Management, Written Communication, Computer Operation, Customer Service, Verbal Communication, Deep Knowledge Of Hotel","Proficiency in Property Management Software
Professional attitude and appearance
Solid written and verbal communication skills
Ability to be resourceful and proactive when issues arise
Proficiency in Microsoft Office Suite
Multitasking and time-management skills, with the ability to prioritize tasks
Strong organizational skills with the ability to perform and prioritize multiple tasks seamlessly with excellent attention to detail","Greet, welcome, and direct visitors appropriately, ensuring they sign in and out
Answer, screen, and forward incoming calls in a professional manner
Provide basic information to visitors or callers
Maintain security by following procedures; issuing visitor badges and monitoring the logbook
Ensure the reception area is tidy and presentable, with all necessary stationery and materials
Receive, sort, and distribute daily mail/deliveries
Update calendars and schedule meetings or appointments
Perform basic bookkeeping, filing, and clerical duties
Maintain stock of front office supplies and placed orders when necessary
Act as a liaison between guests and staff
Perform other duties as assigned"
"
Computer Science Teacher (Secondary Level)



",06/29/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Part Time,"Kathmandu, Nepal",Negotiable,"Jun. 29, 2024 23:55
(3 weeks, 2 days from now)",Graduate (Masters),More than or equal to 1 year,"Teaching, Interpersonal Skills, Communication, Time Management","Develop and deliver comprehensive computer science curriculum that aligns with national standards (NEB.
Teach computer science concepts to secondary level students.
Develop and deliver engaging lesson plans and materials.
Use various teaching methods to accommodate diverse learning styles.
Integrate technology effectively into teaching practices.
Assess student progress and provide constructive feedback.
Foster a positive and inclusive classroom environment.
Collaborate with colleagues on curriculum development and student support.
Facilitate engaging and interactive lessons that incorporate programming languages, computational thinking, and digital literacy skills.
Encourage the academic rigor in students as per the requirement of +2 level and guide them for their career ahead."
"
Math Teacher (Secondary Level)



",06/29/2024 11:55 p.m.,Teaching / Education,Mid Level,[ 1 ],Part Time,"Kathmandu, Nepal
Tokha-3",Negotiable,"Jun. 29, 2024 23:55
(3 weeks, 2 days from now)",Graduate (Masters),More than or equal to 1 year,"Teaching, Interpersonal Skills, Interactive, Communication, Time Management","Plan and deliver engaging mathematics lessons that align with the national curriculum (NEB)
Create a conducive learning environment and manage classes effectively 
Regularly assess student's learning and support them
Collaborate with colleagues to develop and implement curricular strategies
Communicate effectively with students, parents, and colleagues regarding student progress and academic expectations
Attend staff meetings, professional development workshops, and parent-teacher conferences as required
Maintain accurate records of student attendance, grades, and academic performance
Encourage the students' academic rigor required for +2 level and counsel them for their career ahead"
"
Hostel Cook



",06/20/2024 11:55 p.m.,"Hospitality
 > Food preparation/ cooking",Mid Level,[ 1 ],Full Time,"Nayapati Gokarna, Kathmandu",Negotiable,"Jun. 20, 2024 23:55
(2 weeks from now)",Under Graduate (Bachelor),More than or equal to 2 years,"Interpersonal Skills, Communication, Time Management, Flexibility, Hard Working","Collect vegetables and other ingredients for meal preparation.
Prepare hygienic meals and drinks to the children.
Ensure high standard of cleanliness in maintained throughout the kitchen and store.
Make sure that things are fixed properly and all areas of kitchen and store are neat and tidy.
Maintain meal time table as per the routine.
Ensure that no child and staff enter kitchen without approval.
Make sure that the food items and kitchen equipment are use carefully.
Follow safety measure while working in the kitchen."
"
Front Desk Officer



",06/30/2024 11:55 p.m.,"Secretarial / Front Office / Data Entry
 > Front Desk, Office Assistant, Reception",Entry Level,[ 1 ],Full Time,"Thamel, Kathmandu",Negotiable,"Jun. 30, 2024 23:55
(3 weeks, 3 days from now)",Higher Secondary (+2/A Levels/Ib),More than 1 year,"MS Office Suite, Communication, Time Management, Customer Service, Organizational","Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)Greet and welcome guests.
Answer questions and address complaints 
Answer all incoming calls and redirect them or keep messages
Receive letters, packages etc. and distribute them
Prepare outgoing mail by drafting correspondence, securing parcels etc.
Check, sort and forward emails
Monitor office supplies and place orders when necessary
Keep updated records and files
Monitor office expenses and costs
Take up other duties as assigned (travel arrangements, schedules etc.)"
"
HR Officer



",06/29/2024 11:55 p.m.,Human Resource /Org. Development,Mid Level,[ 1 ],Full Time,"Omkar Building 6th Floor, New Baneshwor, Kathmandu",Negotiable,"Jun. 29, 2024 23:55
(3 weeks, 2 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,N/A,"Manage the end-to-end recruitment process, including job postings, candidate screening, interviews, and onboarding.
Develop and implement HR policies and procedures in alignment with company goals.
Handle employee relations issues, including conflict resolution and disciplinary actions.
Oversee performance management processes, including appraisals and feedback sessions.
Ensure compliance with labor laws and regulations.
Maintain employee records and HR documentation.
Coordinate training and development programs.
Assist in payroll processing and benefits administration.
Support organizational change and development initiatives.
Conduct exit interviews and manage offboarding processes."
"
Visa Support Officer



",06/29/2024 11:55 p.m.,General Mgmt. / Administration / Operations,Mid Level,[ 1 ],Full Time,"Omkar Building 6th Floor, New Baneshwor, Kathmandu",Negotiable,"Jun. 29, 2024 23:55
(3 weeks, 2 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,N/A,"Assist clients with visa applications, ensuring all required documentation is accurately completed and submitted.
Provide detailed information and guidance on visa requirements, processes, and timelines.
Maintain up-to-date knowledge of immigration laws and regulations.
Review and verify the accuracy of application documents.
Coordinate with embassies, consulates, and other government agencies as needed.
Track application statuses and communicate updates to clients.
Handle inquiries and provide support to clients via email, phone, and in-person.
Maintain accurate records and documentation for all visa applications.
Assist in resolving any issues or delays in the visa process.
Conduct regular follow-ups with clients to ensure smooth processing of applications."
"
IT/Admin Support Officer



",06/29/2024 11:55 p.m.,IT & Telecommunication,Mid Level,[ 1 ],Full Time,"Omkar Building 6th Floor, New Baneshwor, Kathmandu",Negotiable,"Jun. 29, 2024 23:55
(3 weeks, 2 days from now)",Under Graduate (Bachelor),More than or equal to 1 year,N/A,"Provide technical support and troubleshooting for hardware, software, and network issues.
Maintain and update IT documentation, including user manuals and IT policies.
Assist in the setup, configuration, and maintenance of IT equipment and software.
Manage and monitor IT assets, ensuring proper inventory and records.
Support the administration team with day-to-day tasks and projects.
Ensure timely resolution of IT-related incidents and requests.
Collaborate with other departments to provide IT solutions and support.
Conduct IT training sessions for staff to enhance IT literacy and efficiency."
